barnehagefakta.get - WARNING - Change in response for id=1021225, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022310, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021248, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017494, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021013, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017036, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013483, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012976, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021389, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017367, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021131, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013930, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014205, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017035, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020221, archiving old result
