# The following kindergartens exists in the https://nbr.udir.no/enhet/{id} directory, but gives 404 at http://barnehagefakta.no/api/barnehage/{id}, the following kindergartens are probably discontinued.
"name", "operator", "nbr id"
"Akasia barnehage", "Akasia barnehage AS", "1026225"
"Bekkjakrokane barnehage", "Bergen kommune", "1016709"
"Bjerknes Foreldrelag", "Bjerknes Foreldrelag", "1021519"
"Damsgård Fus barnehage AS", "Damsgård Fus barnehage AS", "2000110"
"Eventyrdalen Barnehage", "Eventyrdalen Barnehage Monica Dyrøy", "1020904"
"Fantoft barnehage", "Studentsamskipnaden på Vestlandet", "2000125"
"Foreldreforeningen Nattland", "Foreldreforeningen Nattland", "1020520"
"Foreningen Eventyrbarnehagene", "Foreningen Eventyrbarnehagene", "1020950"
"Foreningen Eventyrbarnehagene i Hellandhuset", "Foreningen Eventyrbarnehagene i Hellandhuset", "1022234"
"Fredheim Natur og Familiebarnehage", "Fredheim Natur og Familiebarnehage Ans", "1021917"
"Garnes Husmorlags barnehage", "Garnes Kvinne- og Familielag", "1019831"
"Gimleveien Familiebarnehage Da", "Gimleveien Familiebarnehage Da", "1020873"
"Gledesbarna Familiebarnehage Da", "Gledesbarna Familiebarnehage Da", "1021336"
"Hmskonsulenten AS", "Hmskonsulenten AS", "1021147"
"Kidsa Ladegården", "Kidsa Bergenhus AS", "1022142"
"Kidsa Løvåsbakken", "Kidsa Fyllingsdalen AS", "1022144"
"Kidsa Olsvikfjellet", "Kidsa Barnehager AS", "1022417"
"Kidsa Ospeli", "Kidsa Barnehager AS", "1022420"
"Kidsa Sandgotna", "Kidsa Barnehager AS", "1022426"
"Kidsa Sandgotna", "Kidsa Laksevåg AS", "1022141"
"Kidsa Slettebakken", "Kidsa Barnehager AS", "1022415"
"Kidsa Sølvberget", "Kidsa Barnehager AS", "1022413"
"Kidsa Tertitten", "Kidsa Barnehager AS", "1022409"
"Kidsa Toppemyr", "Kidsa Barnehager AS", "1022410"
"Kidsa Varden", "Kidsa Barnehager AS", "1022418"
"Kidsa Vågedalen", "Kidsa Barnehager AS", "1022416"
"Leaparken barnehage", "Bergen kommune", "2000090"
"Lekeklossen Familiebarnehage Linda Kårdal", "Lekeklossen Familiebarnehage Linda Kårdal", "1026334"
"Montana barnehage", "Bergen kommune", "1017889"
"Møhlenpris Oppveksttun Avd barnehage", "Bergen kommune", "2000092"
"Namaste barnehage Torill Slethaug", "Namaste barnehage Torill Slethaug", "1025516"
"Natland Oppverksttun Avd barnehage", "Bergen kommune", "2000093"
"Olsvik barnehage", "Bergen kommune", "1017882"
"Seledammen Fus barnehage AS", "Seledammen Fus barnehage AS", "1021970"
"Skansemyren barnehage", "Bergen kommune", "2000091"
"Smart Venture AS", "Smart Venture AS", "1025720"
"Såta barnehage Tony Robert Moe Dahle", "Såta barnehage Tony Robert Moe Dahle", "1021678"
"Såta Familie barnehage Limited", "Såta Familie barnehage Limited", "1022178"
"Toppen barnehage", "No 1-T Shirts Håvard Storetvedt", "1019619"
"Tris Holding AS", "Tris Holding AS", "1025638"
"Trollhatten barnehage AS", "Trollhatten barnehage AS", "1021376"
"Trollskogen barnehage", "Bergen kommune", "1015890"
"Ytrebygda barnehage", "Bergen kommune", "1017894"
