barnehagefakta.get - WARNING - Change in response for id=989861069, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994048686, archiving old result
barnehagefakta.get - WARNING - Change in response for id=996472027, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973469932, archiving old result
barnehagefakta.get - WARNING - Change in response for id=992098570, archiving old result
barnehagefakta.get - WARNING - Change in response for id=976831071, archiving old result
barnehagefakta.get - WARNING - Change in response for id=875297252, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975309045, archiving old result
barnehagefakta.get - WARNING - Change in response for id=995652137, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994708007, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973469924, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990895023, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975183440, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975295397, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973348434, archiving old result
