barnehagefakta.get - WARNING - Change in response for id=975815978, archiving old result
barnehagefakta.get - WARNING - Change in response for id=882773612, archiving old result
barnehagefakta.get - WARNING - Change in response for id=996472027, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973469983, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975309045, archiving old result
barnehagefakta.get - WARNING - Change in response for id=995652137, archiving old result
barnehagefakta.get - WARNING - Change in response for id=994708007, archiving old result
barnehagefakta.get - WARNING - Change in response for id=990895023, archiving old result
barnehagefakta.get - WARNING - Change in response for id=975295397, archiving old result
barnehagefakta.get - WARNING - Change in response for id=872153322, archiving old result
barnehagefakta.get - WARNING - Change in response for id=973353055, archiving old result
