barnehagefakta.get - WARNING - Change in response for id=1015829, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022067, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012563, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018462, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012881, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1026357, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020681, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1025673, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1026617, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019645, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012882, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016293, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020338, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1015695, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021866, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020694, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012878, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012879, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016400, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021118, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021430, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020739, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022354, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016998, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013077, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022047, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020695, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021672, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021817, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022383, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1022450, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012880, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019646, archiving old result
