barnehagefakta.get - WARNING - Change in response for id=1018261, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019853, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021688, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021100, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014937, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019901, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021656, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016609, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018263, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1019970, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020928, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016507, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014261, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018264, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000062, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021098, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020182, archiving old result
barnehagefakta.get - WARNING - Change in response for id=2000027, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1018265, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012529, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013123, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016122, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014683, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021894, archiving old result
