barnehagefakta.get - WARNING - Change in response for id=1021880, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012743, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014272, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012742, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014801, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1013512, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020913, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1014880, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1017903, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020308, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016417, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016290, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020566, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020405, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1021194, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1020397, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016025, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1016981, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012744, archiving old result
barnehagefakta.get - WARNING - Change in response for id=1012741, archiving old result
